folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
hocho_I8,frame_00115.png,frame_00116.png,hocho_I8\rgb_max_diff_maps\00115-00116-FRAME_rgbmax_scale1.00.png,12,median_eval_analysis\hocho_I8\frame_00115-frame_00116_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I10,frame_00084.png,frame_00085.png,hocho_I10\rgb_max_diff_maps\00084-00085-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I10\frame_00084-frame_00085_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R2,frame_00086.png,frame_00087.png,hocho_R2\rgb_max_diff_maps\00086-00087-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R2\frame_00086-frame_00087_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R4,frame_00080.png,frame_00081.png,hocho_R4\rgb_max_diff_maps\00080-00081-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R4\frame_00080-frame_00081_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R6,frame_00092.png,frame_00093.png,hocho_R6\rgb_max_diff_maps\00092-00093-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R6\frame_00092-frame_00093_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R8,frame_00040.png,frame_00041.png,hocho_R8\rgb_max_diff_maps\00040-00041-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R8\frame_00040-frame_00041_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R10,frame_00014.png,frame_00015.png,hocho_R10\rgb_max_diff_maps\00014-00015-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R10\frame_00014-frame_00015_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X2,frame_00108.png,frame_00109.png,hocho_X2\rgb_max_diff_maps\00108-00109-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X2\frame_00108-frame_00109_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X4,frame_00095.png,frame_00096.png,hocho_X4\rgb_max_diff_maps\00095-00096-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X4\frame_00095-frame_00096_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X6,frame_00086.png,frame_00087.png,hocho_X6\rgb_max_diff_maps\00086-00087-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X6\frame_00086-frame_00087_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
