base_image,variant_file,index,mode,channel,psnr,ssim
hocho.png,hocho_3_normalX.png,3,normal,X,49.73008629627235,0.9996016099736178
hocho.png,hocho_4_invB.png,4,inv,B,46.51474432737619,0.9988253894586222
hocho.png,hocho_4_invG.png,4,inv,G,46.98475092569018,0.9981579060072809
hocho.png,hocho_4_invI.png,4,inv,I,47.2129945580729,0.999473255382895
hocho.png,hocho_4_invR.png,4,inv,R,47.03528861351036,0.9987894747504236
hocho.png,hocho_4_invX.png,4,inv,X,47.83057120829586,0.9994380324450901
hocho.png,hocho_4_normalB.png,4,normal,B,47.5789269356369,0.9988430659340909
hocho.png,hocho_4_normalG.png,4,normal,G,47.0440944481519,0.998212373493254
hocho.png,hocho_4_normalI.png,4,normal,I,48.49495342931411,0.9994933331400491
hocho.png,hocho_4_normalR.png,4,normal,R,46.99345478094025,0.9988475249608126
hocho.png,hocho_4_normalX.png,4,normal,X,47.78324441183844,0.9994839108762021
hocho.png,hocho_5_invB.png,5,inv,B,45.13897287747798,0.9988176446979194
hocho.png,hocho_5_invG.png,5,inv,G,45.56485010262647,0.9979766150512146
hocho.png,hocho_5_invI.png,5,inv,I,45.63613020492916,0.9994630946549532
hocho.png,hocho_5_invR.png,5,inv,R,45.625259691704315,0.9985493762563479
hocho.png,hocho_5_invX.png,5,inv,X,46.18485105565846,0.9991887556057364
hocho.png,hocho_5_normalB.png,5,normal,B,46.32713535333099,0.9988243235175349
hocho.png,hocho_5_normalG.png,5,normal,G,45.630313510216865,0.9979615692310755
hocho.png,hocho_5_normalI.png,5,normal,I,46.99651031005408,0.9994716374889526
hocho.png,hocho_5_normalR.png,5,normal,R,45.57483073966631,0.998578228052944
hocho.png,hocho_5_normalX.png,5,normal,X,46.12868561028662,0.9992112302611446
hocho.png,hocho_6_invB.png,6,inv,B,43.90879332849748,0.9988542552328249
hocho.png,hocho_6_invG.png,6,inv,G,44.29200033003541,0.9972559710940648
hocho.png,hocho_6_invI.png,6,inv,I,44.27782179411237,0.9994948520804852
hocho.png,hocho_6_invR.png,6,inv,R,44.37113319464512,0.9985502298294466
hocho.png,hocho_6_invX.png,6,inv,X,44.783282281284826,0.9991889550293436
hocho.png,hocho_6_normalB.png,6,normal,B,45.27632162387462,0.9988335386683477
hocho.png,hocho_6_normalG.png,6,normal,G,44.36644989456465,0.9972505719633188
hocho.png,hocho_6_normalI.png,6,normal,I,45.79410157102132,0.9994796356771107
hocho.png,hocho_6_normalR.png,6,normal,R,44.30366555780263,0.9985509067895584
hocho.png,hocho_6_normalX.png,6,normal,X,44.70929719707481,0.9991744238640393
hocho.png,hocho_7_invB.png,7,inv,B,42.80688711984936,0.9989118409076265
hocho.png,hocho_7_invG.png,7,inv,G,43.15242156800679,0.9969384808285784
hocho.png,hocho_7_invI.png,7,inv,I,43.09037175955547,0.9995503907505046
hocho.png,hocho_7_invR.png,7,inv,R,43.26212362925894,0.998472567290405
hocho.png,hocho_7_invX.png,7,inv,X,43.57778917110718,0.9991037159334811
hocho.png,hocho_7_normalB.png,7,normal,B,44.39531187673465,0.9988574763609614
hocho.png,hocho_7_normalG.png,7,normal,G,43.23806319560434,0.9969151988538063
hocho.png,hocho_7_normalI.png,7,normal,I,44.81418073601537,0.9995015317370922
hocho.png,hocho_7_normalR.png,7,normal,R,43.16596390172995,0.9985321958626839
hocho.png,hocho_7_normalX.png,7,normal,X,43.474027917654524,0.9991467357929308
hocho.png,hocho_8_invB.png,8,inv,B,41.814260449279075,0.9989684827740576
hocho.png,hocho_8_invG.png,8,inv,G,42.127503629923154,0.9961644119386636
hocho.png,hocho_8_invI.png,8,inv,I,42.0382379405864,0.9996008486442342
hocho.png,hocho_8_invR.png,8,inv,R,42.2816449850037,0.9981062202433633
hocho.png,hocho_8_invX.png,8,inv,X,42.53153965467277,0.998730434739817
hocho.png,hocho_8_normalB.png,8,normal,B,43.64933031053922,0.9988844036312318
hocho.png,hocho_8_normalG.png,8,normal,G,42.2264400848053,0.996059352044628
