folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
nagaoka_R8,frame_00095.png,frame_00096.png,nagaoka_R8\rgb_max_diff_maps\00095-00096-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R8\frame_00095-frame_00096_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_R10,frame_00104.png,frame_00105.png,nagaoka_R10\rgb_max_diff_maps\00104-00105-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R10\frame_00104-frame_00105_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X2,frame_00101.png,frame_00102.png,nagaoka_X2\rgb_max_diff_maps\00101-00102-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X2\frame_00101-frame_00102_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X4,frame_00050.png,frame_00051.png,nagaoka_X4\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X4\frame_00050-frame_00051_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X6,frame_00083.png,frame_00084.png,nagaoka_X6\rgb_max_diff_maps\00083-00084-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X6\frame_00083-frame_00084_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X8,frame_00033.png,frame_00034.png,nagaoka_X8\rgb_max_diff_maps\00033-00034-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X8\frame_00033-frame_00034_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_X10,frame_00015.png,frame_00016.png,nagaoka_X10\rgb_max_diff_maps\00015-00016-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_X10\frame_00015-frame_00016_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B2,frame_00103.png,frame_00104.png,hocho_B2\rgb_max_diff_maps\00103-00104-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_B2\frame_00103-frame_00104_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B4,frame_00116.png,frame_00117.png,hocho_B4\rgb_max_diff_maps\00116-00117-FRAME_rgbmax_scale1.00.png,11,median_eval_analysis\hocho_B4\frame_00116-frame_00117_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B6,frame_00026.png,frame_00027.png,hocho_B6\rgb_max_diff_maps\00026-00027-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_B6\frame_00026-frame_00027_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B8,frame_00102.png,frame_00103.png,hocho_B8\rgb_max_diff_maps\00102-00103-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_B8\frame_00102-frame_00103_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B10,frame_00018.png,frame_00019.png,hocho_B10\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_B10\frame_00018-frame_00019_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G2,frame_00075.png,frame_00076.png,hocho_G2\rgb_max_diff_maps\00075-00076-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G2\frame_00075-frame_00076_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G4,frame_00097.png,frame_00098.png,hocho_G4\rgb_max_diff_maps\00097-00098-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G4\frame_00097-frame_00098_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G6,frame_00037.png,frame_00038.png,hocho_G6\rgb_max_diff_maps\00037-00038-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G6\frame_00037-frame_00038_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G8,frame_00049.png,frame_00050.png,hocho_G8\rgb_max_diff_maps\00049-00050-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G8\frame_00049-frame_00050_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G10,frame_00046.png,frame_00047.png,hocho_G10\rgb_max_diff_maps\00046-00047-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G10\frame_00046-frame_00047_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I2,frame_00025.png,frame_00026.png,hocho_I2\rgb_max_diff_maps\00025-00026-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I2\frame_00025-frame_00026_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I4,frame_00099.png,frame_00100.png,hocho_I4\rgb_max_diff_maps\00099-00100-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I4\frame_00099-frame_00100_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I6,frame_00042.png,frame_00043.png,hocho_I6\rgb_max_diff_maps\00042-00043-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I6\frame_00042-frame_00043_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I8,frame_00093.png,frame_00094.png,hocho_I8\rgb_max_diff_maps\00093-00094-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I8\frame_00093-frame_00094_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I10,frame_00049.png,frame_00050.png,hocho_I10\rgb_max_diff_maps\00049-00050-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I10\frame_00049-frame_00050_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R2,frame_00109.png,frame_00110.png,hocho_R2\rgb_max_diff_maps\00109-00110-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R2\frame_00109-frame_00110_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R4,frame_00066.png,frame_00067.png,hocho_R4\rgb_max_diff_maps\00066-00067-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R4\frame_00066-frame_00067_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R6,frame_00076.png,frame_00077.png,hocho_R6\rgb_max_diff_maps\00076-00077-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R6\frame_00076-frame_00077_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R8,frame_00097.png,frame_00098.png,hocho_R8\rgb_max_diff_maps\00097-00098-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R8\frame_00097-frame_00098_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_R10,frame_00035.png,frame_00036.png,hocho_R10\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_R10\frame_00035-frame_00036_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X2,frame_00036.png,frame_00037.png,hocho_X2\rgb_max_diff_maps\00036-00037-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X2\frame_00036-frame_00037_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_X4,frame_00099.png,frame_00100.png,hocho_X4\rgb_max_diff_maps\00099-00100-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_X4\frame_00099-frame_00100_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
