folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_I6,frame_00011.png,frame_00012.png,rice_I6\rgb_max_diff_maps\00011-00012-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.071694,0.700796,0.629192,0.019103,
rice_I6,frame_00012.png,frame_00013.png,rice_I6\rgb_max_diff_maps\00012-00013-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.071712,0.668537,0.627287,0.018628,
rice_I6,frame_00013.png,frame_00014.png,rice_I6\rgb_max_diff_maps\00013-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.076585,0.668906,0.628261,0.019059,
rice_I6,frame_00014.png,frame_00015.png,rice_I6\rgb_max_diff_maps\00014-00015-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.056237,0.641530,0.622900,0.018918,
rice_I6,frame_00015.png,frame_00016.png,rice_I6\rgb_max_diff_maps\00015-00016-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.488489,0.790900,0.752261,0.034321,
rice_I6,frame_00016.png,frame_00017.png,rice_I6\rgb_max_diff_maps\00016-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.040980,0.468910,0.611204,0.021095,
rice_I6,frame_00017.png,frame_00018.png,rice_I6\rgb_max_diff_maps\00017-00018-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.592516,0.787994,0.780784,0.040015,
rice_I6,frame_00018.png,frame_00019.png,rice_I6\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.084729,0.633470,0.627112,0.022199,
rice_I6,frame_00019.png,frame_00020.png,rice_I6\rgb_max_diff_maps\00019-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.088629,0.653282,0.629388,0.021745,
rice_I6,frame_00020.png,frame_00021.png,rice_I6\rgb_max_diff_maps\00020-00021-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.065857,0.613669,0.622739,0.021504,
rice_I6,frame_00021.png,frame_00022.png,rice_I6\rgb_max_diff_maps\00021-00022-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.080675,0.610616,0.624608,0.024612,
rice_I6,frame_00022.png,frame_00023.png,rice_I6\rgb_max_diff_maps\00022-00023-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.070535,0.649731,0.625877,0.021837,
rice_I6,frame_00023.png,frame_00024.png,rice_I6\rgb_max_diff_maps\00023-00024-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.083734,0.648560,0.628139,0.023646,
rice_I6,frame_00024.png,frame_00025.png,rice_I6\rgb_max_diff_maps\00024-00025-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.072553,0.615476,0.623833,0.022939,
rice_I6,frame_00025.png,frame_00026.png,rice_I6\rgb_max_diff_maps\00025-00026-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.086887,0.656603,0.629332,0.022130,
rice_I6,frame_00026.png,frame_00027.png,rice_I6\rgb_max_diff_maps\00026-00027-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.091932,0.592742,0.624430,0.027344,
rice_I6,frame_00027.png,frame_00028.png,rice_I6\rgb_max_diff_maps\00027-00028-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.087946,0.667456,0.630370,0.022916,
rice_I6,frame_00028.png,frame_00029.png,rice_I6\rgb_max_diff_maps\00028-00029-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.071626,0.642530,0.625593,0.023015,
rice_I6,frame_00029.png,frame_00030.png,rice_I6\rgb_max_diff_maps\00029-00030-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.078847,0.654080,0.627670,0.022289,
rice_I6,frame_00030.png,frame_00031.png,rice_I6\rgb_max_diff_maps\00030-00031-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.088028,0.651475,0.629134,0.022524,
rice_I6,frame_00031.png,frame_00032.png,rice_I6\rgb_max_diff_maps\00031-00032-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.087516,0.659866,0.629703,0.022345,
rice_I6,frame_00032.png,frame_00033.png,rice_I6\rgb_max_diff_maps\00032-00033-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.107353,0.696697,0.636746,0.023343,
rice_I6,frame_00033.png,frame_00034.png,rice_I6\rgb_max_diff_maps\00033-00034-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.074368,0.677075,0.628347,0.019670,
rice_I6,frame_00034.png,frame_00035.png,rice_I6\rgb_max_diff_maps\00034-00035-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.077825,0.657593,0.627729,0.022792,
